tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Ckmt1	ENSMUSG00000000308	MGI:99441	creatine kinase, mitochondrial 1, ubiquitous	CK	Creatine ATP buffer	ATP + Creatine --> ADP + Phosphocreatine	2.7.3.2	genes	Ckmt2	bigg	1	Ckmt2	Ckmt2	False	MAR08427	1	m	Arginine and proline metabolism	2	isozyme
A	Ckmt1	ENSMUSG00000000308	MGI:99441	creatine kinase, mitochondrial 1, ubiquitous	CKc	Creatine ATP buffer	ATP + Creatine --> ADP + Phosphocreatine	2.7.3.2	genes	Ckb,Ckm	bigg	2	Ckb,Ckm		False	MAR04584	1	c	Glycine, serine and threonine metabolism	2	isozyme
A	Ckmt2	ENSMUSG00000021622	MGI:1923972	creatine kinase, mitochondrial 2	CKc	Creatine ATP buffer	ATP + Creatine --> ADP + Phosphocreatine	2.7.3.2	genes	Ckb,Ckm	bigg	2	Ckb,Ckm		True	MAR04584	1	c	Glycine, serine and threonine metabolism	2	isozyme
A	Got2	ENSMUSG00000031672	MGI:95792	glutamatic-oxaloacetic transaminase 2, mitochondrial	CYSTA	Cysteine degradation II	L-Cysteine + 2-Oxoglutarate --> Mercaptopyruvate + Glutamate	2.6.1.1	genes	Got1	bigg,kegg,struct	1	Got1	Got1	True	MAR03912	1	c	Cysteine and methionine metabolism	12	isozyme
A	Ldhal6b	ENSMUSG00000101959	MGI:2146830	lactate dehydrogenase A-like 6B	MCLOR	Cysteine degradation II	3-Mercaptolactate + NAD+ --> Mercaptopyruvate + NADH + H+	1.1.1.27	genes	Ldha,Ldhb	bigg,kegg,struct	1	Ldhb		False	MAR06519	1	c	Cysteine and methionine metabolism	8	isozyme
A	Ldhc	ENSMUSG00000030851	MGI:96764	lactate dehydrogenase C	MCLOR	Cysteine degradation II	3-Mercaptolactate + NAD+ --> Mercaptopyruvate + NADH + H+	1.1.1.27	genes	Ldha,Ldhb	bigg,kegg,struct	1	Ldhb		False	MAR06519	1	c	Cysteine and methionine metabolism	7	isozyme
A	Tst	ENSMUSG00000044986	MGI:98852	thiosulfate sulfurtransferase, mitochondrial	MCPST	Cysteine degradation II	Hydrogen cyanide + Mercaptopyruvate --> Thiocyanate + Pyruvate	2.8.1.2	genes	Got2,Mpst	bigg,kegg,struct	1	Mpst		False	MAR03928,MAR06518	2	c	Cysteine and methionine metabolism	4	isozyme
A	Tst	ENSMUSG00000044986	MGI:98852	thiosulfate sulfurtransferase, mitochondrial	r0595B_mitoMap	Cysteine degradation II	Mercaptopyruvate + Sulfite --> Thiosulfate + Pyruvate	2.8.1.2	genes	Mpst	bigg,kegg	1	Mpst		False	MAR03928,MAR06515	2	c	Cysteine and methionine metabolism	4	isozyme
A	Ak2	ENSMUSG00000028792	MGI:87978	adenylate kinase 2	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	3	isozyme
A	Ak3	ENSMUSG00000024782	MGI:1860835	adenylate kinase 3	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	4	isozyme
A	Ak4	ENSMUSG00000028527	MGI:87979	adenylate kinase 4	ADK1	Cytosolic misc	ATP + AMP --> 2 ADP	2.7.4.3	genes	Ak1	bigg,kegg,struct	1	Ak1	Ak1	True	MAR04002	1	c	Purine metabolism	3	isozyme
