tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	HACD1m	FA metabolism	Acetoacetyl-CoA + NADH + H+ --> (S)-3-Hydroxybutanoyl-CoA + NAD+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		False	MAR03166	1	m	Tryptophan metabolism	96	complex
A	Acaa2	ENSMUSG00000036880	MGI:1098623	acetyl-CoA acyltransferase 2	MTPC14_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	2	Hadha,Hadhb		True	MAR03132	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	108	complex
A	Echs1	ENSMUSG00000025465	MGI:2136460	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	MTPC14_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		True	MAR03129	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	111	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	MTPC14_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		False	MAR03129	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadh	ENSMUSG00000027984	MGI:96009	hydroxyacyl-Coenzyme A dehydrogenase	MTPC14_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		True	MAR03130	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	108	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	MTPC14_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		False	MAR03130	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Acaa2	ENSMUSG00000036880	MGI:1098623	acetyl-CoA acyltransferase 2	MTPC16_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	2	Hadha,Hadhb		True	MAR03125	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	108	complex
A	Echs1	ENSMUSG00000025465	MGI:2136460	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	MTPC16_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		True	MAR03122	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	111	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	MTPC16_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		False	MAR03122	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadh	ENSMUSG00000027984	MGI:96009	hydroxyacyl-Coenzyme A dehydrogenase	MTPC16_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		True	MAR03123	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	108	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	MTPC16_mitoMap	FA metabolism	trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA	4.2.1.74, 1.1.1.211, 2.3.1.16	genes	Hadha,Hadhb	kegg	1	Hadha		False	MAR03123	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0287	FA metabolism	CoA + 3-Oxohexanoyl-CoA --> Acetyl-CoA + Butanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03160	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadhb	ENSMUSG00000059447	MGI:2136381	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	r0287	FA metabolism	CoA + 3-Oxohexanoyl-CoA --> Acetyl-CoA + Butanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03160	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	122	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0634	FA metabolism	Octanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxodecanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03146	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadhb	ENSMUSG00000059447	MGI:2136381	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	r0634	FA metabolism	Octanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxodecanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03146	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	122	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	r0660	FA metabolism	(S)-3-Hydroxydodecanoyl-CoA --> 2-trans-Dodecenoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		False	MAR03136	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0660	FA metabolism	(S)-3-Hydroxydodecanoyl-CoA --> 2-trans-Dodecenoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		True	MAR03136	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0722	FA metabolism	(S)-3-Hydroxydodecanoyl-CoA + NAD+ --> 3-Oxododecanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		True	MAR03137	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	r0722	FA metabolism	(S)-3-Hydroxydodecanoyl-CoA + NAD+ --> 3-Oxododecanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		False	MAR03137	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0724	FA metabolism	Decanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxododecanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03139	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadhb	ENSMUSG00000059447	MGI:2136381	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	r0724	FA metabolism	Decanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxododecanoyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03139	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	122	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0726	FA metabolism	(S)-Hydroxydecanoyl-CoA + NAD+ --> 3-Oxodecanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		True	MAR03144	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	r0726	FA metabolism	(S)-Hydroxydecanoyl-CoA + NAD+ --> 3-Oxodecanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		False	MAR03144	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	r0728	FA metabolism	(S)-Hydroxydecanoyl-CoA --> trans-Dec-2-enoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		False	MAR03143	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0728	FA metabolism	(S)-Hydroxydecanoyl-CoA --> trans-Dec-2-enoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		True	MAR03143	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0730	FA metabolism	(S)-Hydroxyoctanoyl-CoA + NAD+ --> 3-Oxooctanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		True	MAR03151	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	r0730	FA metabolism	(S)-Hydroxyoctanoyl-CoA + NAD+ --> 3-Oxooctanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		False	MAR03151	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	r0731	FA metabolism	trans-Oct-2-enoyl-CoA + H2O --> (S)-Hydroxyoctanoyl-CoA	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		False	MAR03150	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0731	FA metabolism	trans-Oct-2-enoyl-CoA + H2O --> (S)-Hydroxyoctanoyl-CoA	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		True	MAR03150	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0732	FA metabolism	CoA + 3-Oxooctanoyl-CoA  --> Hexanoyl-CoA + Acetyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03153	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hadhb	ENSMUSG00000059447	MGI:2136381	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	r0732	FA metabolism	CoA + 3-Oxooctanoyl-CoA  --> Hexanoyl-CoA + Acetyl-CoA	2.3.1.16	genes	Acaa2	bigg,kegg,struct	1	Acaa2		True	MAR03153	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	122	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0733	FA metabolism	(S)-Hydroxyhexanoyl-CoA + NAD+ --> 3-Oxohexanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		True	MAR03158	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Hsd17b10	ENSMUSG00000025260	MGI:1333871	hydroxysteroid (17-beta) dehydrogenase 10	r0733	FA metabolism	(S)-Hydroxyhexanoyl-CoA + NAD+ --> 3-Oxohexanoyl-CoA + NADH + H+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		False	MAR03158	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	96	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	r0734	FA metabolism	trans-Hex-2-enoyl-CoA + H2O --> (S)-Hydroxyhexanoyl-CoA	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		False	MAR03157	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	223	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	r0734	FA metabolism	trans-Hex-2-enoyl-CoA + H2O --> (S)-Hydroxyhexanoyl-CoA	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		True	MAR03157	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	270	complex
A	Acad11	ENSMUSG00000090150	MGI:2143169	acyl-Coenzyme A dehydrogenase family, member 11	r1446	FA metabolism	Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA	1.3.8.1, 1.5.5.1	genes	Acads,Etfdh	kegg	1	Acads		False	MAR03163	1	m	Butanoate metabolism	2	isozyme
A	Acad8	ENSMUSG00000031969	MGI:1914198	acyl-Coenzyme A dehydrogenase family, member 8	r1446	FA metabolism	Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA	1.3.8.1, 1.5.5.1	genes	Acads,Etfdh	kegg	1	Acads		False	MAR03163	1	m	Butanoate metabolism	3	isozyme
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	r1446	FA metabolism	Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA	1.3.8.1, 1.5.5.1	genes	Acads,Etfdh	kegg	1	Acads		False	MAR03163	1	m	Butanoate metabolism	59	isozyme
A	Acadm	ENSMUSG00000062908	MGI:87867	acyl-Coenzyme A dehydrogenase, medium chain	r1446	FA metabolism	Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA	1.3.8.1, 1.5.5.1	genes	Acads,Etfdh	kegg	1	Acads		True	MAR03163	1	m	Butanoate metabolism	102	complex
A	Acadsb	ENSMUSG00000030861	MGI:1914135	acyl-Coenzyme A dehydrogenase, short/branched chain	r1446	FA metabolism	Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA	1.3.8.1, 1.5.5.1	genes	Acads,Etfdh	kegg	1	Acads		False	MAR03163	1	m	Butanoate metabolism	8	isozyme
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	r1448	FA metabolism	Octanoyl-CoA + Q --> trans-Oct-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03149	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	59	isozyme
A	Acox1	ENSMUSG00000020777	MGI:1330812	acyl-Coenzyme A oxidase 1, palmitoyl	r1448	FA metabolism	Octanoyl-CoA + Q --> trans-Oct-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03149	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	134	complex
A	Acox3	ENSMUSG00000029098	MGI:1933156	acyl-Coenzyme A oxidase 3, pristanoyl	r1448	FA metabolism	Octanoyl-CoA + Q --> trans-Oct-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03149	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	83	complex
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	r1451	FA metabolism	Decanoyl-CoA + Q -->trans-Dec-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03142	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	59	isozyme
A	Acox1	ENSMUSG00000020777	MGI:1330812	acyl-Coenzyme A oxidase 1, palmitoyl	r1451	FA metabolism	Decanoyl-CoA + Q -->trans-Dec-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03142	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	134	complex
A	Acox3	ENSMUSG00000029098	MGI:1933156	acyl-Coenzyme A oxidase 3, pristanoyl	r1451	FA metabolism	Decanoyl-CoA + Q -->trans-Dec-2-enoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03142	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	83	complex
A	Olah	ENSMUSG00000026645	MGI:2139018	oleoyl-ACP hydrolase	FA160ACPH	FA synthesis - cytosolic	Hexadecanoyl-[acp] + H2O --> Acyl-carrier protein + Hexadecanoic acid	3.1.2.14	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02182	1	c	Fatty acid biosynthesis	12	isozyme
A	Mcat	ENSMUSG00000048755	MGI:2388651	malonyl CoA:ACP acyltransferase (mitochondrial)	MCOATA	FA synthesis - cytosolic	Malonyl-CoA + Acyl-carrier protein --> CoA + Malonyl-[acyl-carrier protein]	2.3.1.39	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02151	1	c	Fatty acid biosynthesis	2	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0678	FA synthesis - cytosolic	Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] --> Acetoacetyl-[acp] + CO2	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02152	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Mecr	ENSMUSG00000028910	MGI:1349441	mitochondrial trans-2-enoyl-CoA reductase	r0682	FA synthesis - cytosolic	Butyryl-[acp] + NADP+ --> But-2-enoyl-[acyl-carrier protein] + NADPH + H+	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		True	MAR02155	1	c	Fatty acid biosynthesis (even-chain)	8	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	r0682	FA synthesis - cytosolic	Butyryl-[acp] + NADP+ --> But-2-enoyl-[acyl-carrier protein] + NADPH + H+	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02155	1	c	Fatty acid biosynthesis (even-chain)	8	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0713	FA synthesis - cytosolic	Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] --> 3-Oxotetradecanoyl-	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02173	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0760	FA synthesis - cytosolic	Butyryl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrie	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02156	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0764	FA synthesis - cytosolic	Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carri	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02160	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0766	FA synthesis - cytosolic	Octanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carri	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02164	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0768	FA synthesis - cytosolic	Decanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxododecanoyl-[acp] + CO2 + Acyl-car	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02168	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Oxsm	ENSMUSG00000021786	MGI:1918397	3-oxoacyl-ACP synthase, mitochondrial	r0772	FA synthesis - cytosolic	Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxohexadecanoyl-[acp] + CO2 + A	2.3.1.85	genes	Fasn	bigg,kegg,struct	1	Fasn		False	MAR02178	1	c	Fatty acid biosynthesis (even-chain)	10	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	MECR14C_mitoMap	Fatty acid elongation in mitochondria	trans-Tetradec-2-enoyl-CoA + NADPH + H+ --> Tetradecanoyl-CoA + NADP+	1.3.1.38	genes	Mecr	struct	1	Mecr		False	MAR02183	1	m	Fatty acid oxidation	8	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	r0633	Fatty acid elongation in mitochondria	Octanoyl-CoA + NADP+ --> trans-Oct-2-enoyl-CoA + NADPH + H+	1.3.1.38	genes	Mecr	bigg,struct	1	Mecr		False	MAR02148	1	m	Fatty acid oxidation	8	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	r0638	Fatty acid elongation in mitochondria	Lauroyl-CoA + NADP+ --> 2-trans-Dodecenoyl-CoA + NADPH + H+	1.3.1.38	genes	Mecr	bigg,struct	1	Mecr		False	MAR02149	1	m	Fatty acid oxidation	8	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	r0735	Fatty acid elongation in mitochondria	Decanoyl-CoA + NADP+ --> trans-Dec-2-enoyl-CoA + NADPH + H+	1.3.1.38	genes	Mecr	bigg,struct	1	Mecr		False	MAR02187	1	m	Fatty acid oxidation	8	isozyme
A	Pecr	ENSMUSG00000026189	MGI:2148199	peroxisomal trans-2-enoyl-CoA reductase	r0791	Fatty acid elongation in mitochondria	trans-Hex-2-enoyl-CoA + NADPH + H+ --> Hexanoyl-CoA + NADP+	1.3.1.38	genes	Mecr	bigg,struct	1	Mecr		False	MAR02207	1	m	Fatty acid oxidation	8	isozyme
A	Aldh1l2	ENSMUSG00000020256	MGI:2444680	aldehyde dehydrogenase 1 family, member L2	FTHFDH	Folate cytosolic	10-Formyltetrahydrofolate + NADP+ + H2O --> Tetrahydrofolate + CO2 + NADPH + H+	1.5.1.6	genes	Aldh1l1	bigg,kegg,struct	1	Aldh1l1	Aldh1l1	True	MAR04336	1	c	Folate metabolism	2	isozyme
A	Mthfd2	ENSMUSG00000005667	MGI:1338850	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofola	FTHFLm	Folate mitochondrial	Tetrahydrofolate + Formate + ATP --> ADP + Orthophosphate + 10-Formyltetrahydrofolate	6.3.4.3	genes	Mthfd1l	bigg,kegg,struct	1	Mthfd1l	Mthfd1l	True	MAR04340	1	m	Folate metabolism	4	isozyme
A	Mthfd2l	ENSMUSG00000029376	MGI:1915871	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	FTHFLm	Folate mitochondrial	Tetrahydrofolate + Formate + ATP --> ADP + Orthophosphate + 10-Formyltetrahydrofolate	6.3.4.3	genes	Mthfd1l	bigg,kegg,struct	1	Mthfd1l	Mthfd1l	True	MAR04340	1	m	Folate metabolism	3	isozyme
A	Mthfd1l	ENSMUSG00000040675	MGI:1924836	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	MTHFCm	Folate mitochondrial	5,10-Methenyltetrahydrofolate + H2O --> 10-Formyltetrahydrofolate + H+	3.5.4.9	genes	Mthfd2,Mthfd2l	bigg,kegg,struct	2	Mthfd2,Mthfd2l	Mthfd2,Mthfd2l	True	MAR04505	1	m	Folate metabolism	3	isozyme
A	Gad1	ENSMUSG00000070880	MGI:95632	glutamate decarboxylase 1	GLUDC	GABA shunt	L-Glutamate --> 4-Aminobutanoate + CO2	4.1.1.15	genes	Gad2	bigg,kegg,struct	1	Gad2	Gad2	False	MAR04690	1	c	Alanine, aspartate and glutamate metabolism	4	isozyme
A	Lap3	ENSMUSG00000039682	MGI:1914238	leucine aminopeptidase 3	AMPTASECG	Glutathione degradation	Cys-Gly + H2O --> L-Cysteine + Glycine	3.4.11.2	genes	Anpep	bigg,kegg,struct	1	Anpep		False	MAR04328	1	c	Glutathione metabolism	3	isozyme
A	Npepps	ENSMUSG00000001441	MGI:1101358	aminopeptidase puromycin sensitive	AMPTASECG	Glutathione degradation	Cys-Gly + H2O --> L-Cysteine + Glycine	3.4.11.2	genes	Anpep	bigg,kegg,struct	1	Anpep		False	MAR04328	1	c	Glutathione metabolism	2	isozyme
A	Ggt1	ENSMUSG00000006345	MGI:95706	gamma-glutamyltransferase 1	r0129	Glutathione degradation	Glutathione + H2O --> Cys-Gly + L-Glutamate	3.4.19.13	genes	Ggt6,Ggt7	bigg,kegg,struct	2	Ggt6,Ggt7	Ggt6,Ggt7	False	MAR04175	1	c	Glutathione metabolism	10	isozyme
